,module_colors
LOC119025150,blue
LOC119025155,blue
LOC119025254,brown
LOC119025269,blue
LOC119025280,blue
LOC119025282,blue
LOC119025285,blue
LOC119025349,blue
LOC119025432,grey
LOC119025452,turquoise
LOC119025465,brown
LOC119025502,turquoise
LOC119025531,brown
LOC119025566,grey
LOC119025639,blue
LOC119025698,green
LOC119025852,turquoise
LOC119025944,turquoise
LOC119025952,blue
LOC119026022,turquoise
LOC119026029,blue
LOC119026064,grey
LOC119026065,turquoise
LOC119026073,turquoise
LOC119026096,turquoise
LOC119026128,turquoise
LOC119026297,blue
LOC119026347,turquoise
LOC119026357,grey
LOC119026461,blue
LOC119026466,blue
LOC119026476,brown
LOC119026610,blue
LOC119026649_fusion_2,brown
LOC119026661,blue
LOC119026664,brown
LOC119026666,turquoise
LOC119026678,blue
LOC119026684,blue
LOC119026694,turquoise
LOC119026718,turquoise
LOC119026733,turquoise
LOC119026807,blue
LOC119026817,turquoise
LOC119026820,turquoise
LOC119026821,turquoise
LOC119026823,turquoise
LOC119026826,blue
LOC119026839,turquoise
LOC119026840,blue
LOC119026845,turquoise
LOC119026848,blue
LOC119026867,blue
LOC119026868,blue
LOC119026876,blue
LOC119026882,turquoise
LOC119026893,brown
LOC119026954,turquoise
LOC119026969,grey
LOC119026991,turquoise
LOC119027003,grey
LOC119027004,turquoise
LOC119027018,yellow
LOC119027037,blue
LOC119027074,blue
LOC119027094,turquoise
LOC119027099,grey
LOC119027104,blue
LOC119027149,blue
LOC119027174,blue
LOC119027177,blue
LOC119027182,blue
LOC119027187,brown
LOC119027283,turquoise
LOC119027305,blue
LOC119027306,yellow
LOC119027344,turquoise
LOC119027363,grey
LOC119027425,brown
LOC119027470,turquoise
LOC119027526,blue
LOC119027543,turquoise
LOC119027581,grey
LOC119027583,turquoise
LOC119027663,turquoise
LOC119027681,blue
LOC119027692,turquoise
LOC119027693,blue
LOC119027708,blue
LOC119027732,grey
LOC119027735,grey
LOC119027739,grey
LOC119027742,turquoise
LOC119027746,blue
LOC119027754,grey
LOC119027755,grey
LOC119027762,green
LOC119027802,turquoise
LOC119027804,turquoise
LOC119027824,blue
LOC119028006,blue
LOC119028047,blue
LOC119028159,turquoise
LOC119028203,blue
LOC119028204,blue
LOC119028218,brown
LOC119028282,brown
LOC119028291,turquoise
LOC119028318,turquoise
LOC119028348,turquoise
LOC119028413,blue
LOC119028500,blue
LOC119028629,brown
LOC119028635,blue
LOC119028642,turquoise
LOC119028643,blue
LOC119028689,grey
LOC119028710,turquoise
LOC119028725,grey
LOC119028782,blue
LOC119028844,turquoise
LOC119028888,brown
LOC119028949,turquoise
LOC119028954,turquoise
LOC119028957,turquoise
LOC119029000,brown
LOC119029002,grey
LOC119029007,blue
LOC119029010,grey
LOC119029015,green
LOC119029044,turquoise
LOC119029087,blue
LOC119029089,blue
LOC119029103,blue
LOC119029107,blue
LOC119029127,blue
LOC119029135,brown
LOC119029156,blue
LOC119029185,brown
LOC119029229,turquoise
LOC119029297,turquoise
LOC119029346,turquoise
LOC119029389,blue
LOC119029392,grey
LOC119029396,blue
LOC119029398,blue
LOC119029399,turquoise
LOC119029400,grey
LOC119029407,grey
LOC119029449,blue
LOC119029486,blue
LOC119029487,blue
LOC119029514,blue
LOC119029542,brown
LOC119029571,turquoise
LOC119029578_fusion_1,turquoise
LOC119029611,turquoise
LOC119029641,blue
LOC119029654,turquoise
LOC119029688,grey
LOC119029689,blue
LOC119029691,blue
LOC119029700,turquoise
LOC119029701,grey
LOC119029703,grey
LOC119029704,turquoise
LOC119029707,grey
LOC119029741,blue
LOC119029745,blue
LOC119029785,brown
LOC119029789,turquoise
LOC119029797,blue
LOC119029962,turquoise
LOC119029985,blue
LOC119029989,turquoise
LOC119030009,brown
LOC119030028,turquoise
LOC119030029,turquoise
LOC119030050,turquoise
LOC119030079,turquoise
LOC119030100,grey
LOC119030104,blue
LOC119030110,brown
LOC119030164,blue
LOC119030191,turquoise
LOC119030199,turquoise
LOC119030258,blue
LOC119030345,brown
LOC119030395,blue
LOC119030401,grey
LOC119030420,yellow
LOC119030469,turquoise
LOC119030522,red
LOC119030572,grey
LOC119030590,turquoise
LOC119030620,blue
LOC119030671,blue
LOC119030698,grey
LOC119030706,turquoise
LOC119030707,brown
LOC119030708,yellow
LOC119030709,grey
LOC119030758,grey
LOC119030772,green
LOC119030804,blue
LOC119030808,blue
LOC119030862,yellow
LOC119030867,turquoise
LOC119030959,turquoise
LOC119030960,green
LOC119030965,blue
LOC119030983,blue
LOC119031048,turquoise
LOC119031132,blue
LOC119031140,brown
LOC119031157,turquoise
LOC119031168,turquoise
LOC119031171_fusion_2,turquoise
LOC119031216,blue
LOC119031233,blue
LOC119031252,grey
LOC119031311,turquoise
LOC119031409,blue
LOC119031487,blue
LOC119031514,grey
LOC119031529,blue
LOC119031578,blue
LOC119031595,turquoise
LOC119031922,brown
LOC119031949,blue
LOC119031981,blue
LOC119032059,brown
LOC119032114,brown
LOC119032132,blue
LOC119032167,turquoise
LOC119032193,red
LOC119032202,brown
LOC119032230,turquoise
LOC119032263,red
LOC119032288,turquoise
LOC119032394,blue
LOC119032416,red
LOC119032422,brown
LOC119032471,blue
LOC119032480,blue
LOC119032483,blue
LOC119032512,blue
LOC119032548,blue
LOC119032569,blue
LOC119032583,blue
LOC119032697,turquoise
LOC119032792,blue
LOC119032820,brown
LOC119032826,turquoise
LOC119032900,grey
LOC119033015,turquoise
LOC119033016,turquoise
LOC119033090,brown
LOC119033260,blue
LOC119033265,blue
LOC119033276,turquoise
LOC119033380,grey
LOC119033515,turquoise
LOC119033530,turquoise
LOC119033610,brown
LOC119033623,turquoise
LOC119033644,turquoise
LOC119033652,turquoise
LOC119033687,grey
LOC119033696,turquoise
LOC119033717,blue
LOC119033832,turquoise
LOC119033864,turquoise
LOC119033890,blue
LOC119033891,blue
LOC119033922,blue
LOC119033926,green
LOC119033992,blue
LOC119033993,blue
LOC119033999,turquoise
LOC119034060,blue
LOC119034097,blue
LOC119034119,turquoise
LOC119034134,turquoise
LOC119034165,grey
LOC119034185,grey
LOC119034251,blue
LOC119034263,turquoise
LOC119034273,blue
LOC119034287,blue
LOC119034324,green
LOC119034363,turquoise
LOC119034376,turquoise
LOC119034415,blue
LOC119034440,blue
lonp1,turquoise
lonp2,turquoise
lonrf1_ChrAur1,blue
lonrf1_ChrAur2,turquoise
lonrf2,turquoise
loxa,blue
loxhd1b,grey
loxl1,turquoise
loxl2b,turquoise
loxl3b,blue
loxl4_ChrAur1,brown
lpar1,blue
lpar2a,turquoise
lpar2b,red
lpar3,blue
lpar4,turquoise
lpar6a,blue
lpcat1,grey
lpcat2,yellow
lpcat3,turquoise
lpcat4,grey
lpgat1,blue
lpin1a,grey
lpin2_ChrAur1,blue
lpin2_ChrAur2,blue
lpla,blue
lpp,blue
lpxn,blue
lrata_ChrAur2,turquoise
lratb.1,grey
lratd1,blue
lratd2a,turquoise
lratd2b,grey
lrba,blue
lrch1_ChrAur1,turquoise
lrch1_ChrAur2,turquoise
lrch2,blue
lrch3,blue
lrch4,blue
lrfn1,blue
lrfn4a,blue
lrfn4b,grey
lrfn5a,blue
lrfn5b,blue
lrguk,brown
lrif1,turquoise
lrig1,blue
lrig2,blue
lrig3,grey
lrit3a,blue
lrit3b,turquoise
lrmda,turquoise
lrmp,turquoise
lrp10,turquoise
lrp11,brown
lrp12,turquoise
lrp13,turquoise
lrp1aa_ChrAur1,blue
lrp1aa_ChrAur2,blue
lrp1bb,brown
lrp2a,turquoise
lrp2b,brown
lrp3,yellow
lrp4,turquoise
lrp5,blue
lrp6,turquoise
lrp8,yellow
lrpap1,grey
lrpprc,turquoise
lrr1,turquoise
lrrc1,grey
lrrc15_ChrAur1,blue
lrrc17,blue
lrrc18b_ChrAur1,red
lrrc18b_ChrAur2,turquoise
lrrc20,turquoise
lrrc23,brown
lrrc24,blue
lrrc28,grey
lrrc30a_ChrAur1,grey
lrrc31,turquoise
lrrc32,blue
lrrc34_ChrAur1,red
lrrc34_ChrAur2,brown
lrrc38b_ChrAur1,grey
lrrc38b_ChrAur2,blue
lrrc39,grey
lrrc3ca,turquoise
lrrc4.1,blue
lrrc40,grey
lrrc41,turquoise
lrrc42,turquoise
lrrc45,turquoise
lrrc47,grey
lrrc4ca,turquoise
lrrc51_ChrAur1,grey
lrrc51_ChrAur2,grey
lrrc56,brown
lrrc57,turquoise
lrrc58b,blue
lrrc59,turquoise
lrrc61,turquoise
lrrc69,brown
lrrc7,turquoise
lrrc71,turquoise
lrrc72,brown
lrrc73,brown
lrrc74a,brown
lrrc75a,turquoise
lrrc75ba,blue
lrrc8aa,blue
lrrc8ab,blue
lrrc8c,blue
lrrc8db,blue
lrrc9,brown
lrrcc1,turquoise
lrrfip1a,turquoise
lrrfip1b,grey
lrrfip2,turquoise
lrriq1,brown
lrrk1,blue
lrrk2,turquoise
lrrn1_ChrAur1,turquoise
lrrn1_ChrAur2,blue
lrrtm1,blue
lrsam1,brown
lrwd1,brown
lsamp,turquoise
lsg1,turquoise
lsm1,turquoise
lsm10,turquoise
lsm11,green
lsm12b,turquoise
lsm14aa_ChrAur1,green
lsm14aa_ChrAur2,grey
lsm14b,turquoise
lsm3,brown
lsm4,turquoise
lsm5,green
lsm6,green
lsm7,green
lsm8,turquoise
lsp1a_ChrAur1,blue
lsr,blue
lss,grey
lta4h,turquoise
ltb4r,blue
ltbp3,turquoise
ltbp4,blue
ltn1,grey
lto1,turquoise
ltv1,turquoise
luc7l_ChrAur1,blue
luc7l_ChrAur2,turquoise
luc7l3,grey
lum,blue
luzp1,blue
luzp2,turquoise
lxn,blue
ly75,blue
lyar,red
lygl1_ChrAur1,grey
lygl1_ChrAur2,blue
lygl1_ChrAur3,grey
lyl1,blue
lyn,blue
lypla1,turquoise
lypla2,turquoise
lyplal1,green
lyrm1,turquoise
lyrm2,turquoise
lyrm4,blue
lyrm5a,turquoise
lyrm5b,brown
lyrm7,turquoise
lysmd2,grey
lysmd3,turquoise
lysmd4,turquoise
lyst,blue
lyve1a,blue
lzic,turquoise
lztfl1,blue
lztr1,turquoise
lzts1,blue
lzts2a,blue
lzts3b,turquoise
m1ap,brown
m6pr,blue
mab21l2,turquoise
macc1,turquoise
macf1b,blue
macir,blue
maco1a,yellow
maco1b,yellow
macrod1,turquoise
macrod2,brown
macroh2a1,brown
mad1l1,blue
mad2l1,turquoise
mad2l1bp,turquoise
mad2l2,turquoise
madd,turquoise
maea,turquoise
maf1b,turquoise
mafba,blue
maff,blue
mafga,brown
magi1a,blue
magi1b,turquoise
magi2a,grey
magi2b_ChrAur1,blue
magi3a,blue
magixa_ChrAur1,turquoise
magl_ChrAur1,blue
magl_ChrAur2,blue
magoh,turquoise
magt1,turquoise
maip1,turquoise
majin,grey
mak,blue
mak16,turquoise
malrd1,grey
malsu1,turquoise
malt1,blue
malt2,blue
malt3,turquoise
mamdc2a,blue
mamdc2b,blue
maml1,turquoise
maml3,blue
man1a1,turquoise
man1a2,brown
man1b1a,black
man1b1b,blue
man2a2,turquoise
man2b1,blue
man2b2,turquoise
man2c1,turquoise
manba,turquoise
manbal,turquoise
manea,blue
maneal_ChrAur1,green
maneal_ChrAur2,turquoise
manf,turquoise
mansc1,turquoise
mao,blue
map10_ChrAur1,grey
map1aa,turquoise
map1ab,blue
map1b,turquoise
map1lc3a,grey
map1lc3b,turquoise
map1lc3c,turquoise
map1sa,brown
map2,yellow
map2k1,brown
map2k2a,turquoise
map2k2b,turquoise
map2k4a_ChrAur1,turquoise
map2k4a_ChrAur2,turquoise
map2k5,blue
map2k6_ChrAur1,turquoise
map2k6_ChrAur2,turquoise
map2k7,blue
map3k10,turquoise
map3k12_ChrAur1,blue
map3k12_ChrAur2,turquoise
map3k14a,blue
map3k15,blue
map3k19_ChrAur1,grey
map3k19_ChrAur2,grey
map3k2,grey
map3k20a,turquoise
map3k21,blue
map3k22,blue
map3k3,blue
map3k4,turquoise
map3k5,turquoise
map3k7,brown
map3k8,yellow
map3k9,brown
map4k1,blue
map4k2,blue
map4k3a,turquoise
map4k4_ChrAur1,brown
map4k4_ChrAur2,turquoise
map4k5,brown
map4l,turquoise
map6b,blue
map7d1a,turquoise
map7d1b,blue
map7d2a,brown
map7d2b,blue
map7d3,black
map9,blue
mapda,green
mapk1,blue
mapk10,blue
mapk11,blue
mapk12b,turquoise
mapk13,turquoise
mapk14a,turquoise
mapk14b,blue
mapk15,blue
mapk3,brown
mapk6,grey
mapk7,turquoise
mapk8a,turquoise
mapk8b,blue
mapk8ip1b,turquoise
mapk8ip2,brown
mapk8ip3,turquoise
mapk9,blue
mapkap1,turquoise
mapkapk2a_ChrAur1,turquoise
mapkapk2a_ChrAur2,blue
mapkapk2a_ChrAur3,turquoise
mapkapk3_ChrAur1,blue
mapkapk3_ChrAur2,blue
mapkapk5,blue
mapkbp1,turquoise
mapre1b,turquoise
mapre2,blue
mapre3b,blue
maptb,brown
Mar-01,turquoise
marchf1,blue
marchf2,grey
marchf4b,brown
marchf5,turquoise
marchf5l,turquoise
marchf6,blue
marchf7,turquoise
marchf8,turquoise
marchf9,brown
marcksa_ChrAur1,turquoise
marcksa_ChrAur2,turquoise
marcksl1a,black
marcksl1b,turquoise
marf1,blue
mark1_ChrAur1,turquoise
mark1_ChrAur2,grey
mark1_ChrAur3,turquoise
mark2b,blue
mark3a,blue
mark4,turquoise
mark4a,turquoise
mars1,turquoise
mars2,turquoise
marveld2a,turquoise
marveld2b,turquoise
marveld2l,blue
marveld3,turquoise
mast1a,turquoise
mast2,blue
mast3a,blue
mast3b,yellow
mast4,turquoise
mastl,turquoise
mat1a,grey
mat2aa_ChrAur1,turquoise
mat2aa_ChrAur2,black
mat2al,turquoise
mat2b,turquoise
matcap2,brown
matk,turquoise
matn1,grey
matn3a_ChrAur2,turquoise
matr3l1.1,yellow
matr3l1.2,blue
mau2_ChrAur1,brown
mau2_ChrAur2,turquoise
mavs,blue
max_ChrAur1,turquoise
max_ChrAur2,blue
mazb,grey
mb,brown
mb21d2,grey
mbd1a_ChrAur1,grey
mbd1a_ChrAur2,yellow
mbd1b,blue
mbd2,turquoise
mbd3a,turquoise
mbd4,turquoise
mbd6,turquoise
mbip,turquoise
mblac1,turquoise
mblac2,grey
mbnl1_ChrAur1,blue
mbnl1_ChrAur2,blue
mbnl2_ChrAur1,blue
mbnl2_ChrAur2,turquoise
mbnl3,turquoise
mboat1,turquoise
mboat2a,turquoise
mboat2b,grey
mboat7,turquoise
mbtd1_ChrAur1,grey
mbtd1_ChrAur2,turquoise
mbtps1,turquoise
mbtps2,turquoise
mcama,blue
mcat,turquoise
mccc1,blue
mccc2,turquoise
mcee,green
mcf2l2,turquoise
mcf2la,turquoise
mcfd2,grey
mchr1a,turquoise
mcl1b,brown
mcm10,turquoise
mcm2,turquoise
mcm3,turquoise
mcm3ap,turquoise
mcm4,turquoise
mcm5,turquoise
mcm6,blue
mcm7,turquoise
mcm8,yellow
mcm9,yellow
mcmbp,turquoise
mcmdc2,brown
mcoln1a,turquoise
mcoln1b,turquoise
mcoln2,turquoise
mcoln3b,turquoise
mcph1_ChrAur1,blue
mcph1_ChrAur2,blue
mcrip1,grey
mcrip2_ChrAur1,turquoise
mcrs1,brown
mctp1a_ChrAur1,grey
mctp1a_ChrAur2,brown
mctp2a,grey
mctp2b,turquoise
mcts1,turquoise
mcu,turquoise
mcur1,turquoise
mdc1,grey
mdfic,brown
mdga1,turquoise
mdga2a,turquoise
mdh1aa,green
mdh1ab,turquoise
mdh1b,brown
mdh2,turquoise
mdkb,blue
mdm1,turquoise
mdm2,grey
mdm4,blue
mdn1,grey
me1,turquoise
me2,turquoise
me3,green
mea1,turquoise
meaf6,turquoise
meak7,grey
mecp2,blue
mecr,turquoise
med1,turquoise
med10,turquoise
med11,turquoise
med12,turquoise
med13a_ChrAur1,turquoise
med13a_ChrAur2,turquoise
med14,turquoise
med15,turquoise
med16,turquoise
med17,turquoise
med18,turquoise
med19a,turquoise
med1l,turquoise
med20,green
med21,turquoise
med22,turquoise
med23,turquoise
med24,turquoise
med25,brown
med27,turquoise
med28,turquoise
med29,blue
med30,turquoise
med31,turquoise
med4,turquoise
med6,turquoise
med7,turquoise
med8,turquoise
med9,turquoise
mef2aa,blue
mef2b,turquoise
mef2cb,turquoise
mef2d_ChrAur1,blue
mef2d_ChrAur2,blue
megf11_ChrAur2,blue
megf6b,brown
megf8,blue
mei4,turquoise
meig1,grey
meiob,grey
meis1b_ChrAur1,blue
meis1b_ChrAur2,blue
meis2b,grey
meis3,turquoise
melk,turquoise
meltf,turquoise
memo1,turquoise
men1,turquoise
meox1,blue
mep1a.1,turquoise
mep1a.2,turquoise
mep1ba,turquoise
mep1bb,blue
mepcea,black
mertka,turquoise
mesd,turquoise
mest,turquoise
met,blue
metap1,turquoise
metap1d,turquoise
metap2b_ChrAur1,yellow
metap2b_ChrAur2,turquoise
metrnla,blue
mettl1,turquoise
mettl13,turquoise
mettl14,turquoise
mettl15,grey
mettl16,turquoise
mettl17,turquoise
mettl18,turquoise
mettl21a,turquoise
mettl22,turquoise
mettl23,turquoise
mettl24,blue
mettl25,turquoise
mettl25b,turquoise
mettl26,turquoise
mettl27_ChrAur1,turquoise
mettl2a,turquoise
mettl3,turquoise
mettl4,turquoise
mettl5,turquoise
mettl6,turquoise
mettl8,turquoise
mettl9,turquoise
mex3a,grey
mex3b,turquoise
mfap1,turquoise
mfap3l,brown
mfap4.1_ChrAur1,turquoise
mfap5,blue
mffa,turquoise
mffb,blue
mfge8a,turquoise
mfge8b,turquoise
mfhas1,grey
mfn1a,grey
mfn1b,turquoise
mfn2,blue
mfng,blue
mfsd1,turquoise
mfsd10,turquoise
mfsd11,turquoise
mfsd12a,blue
mfsd13a,turquoise
mfsd13al,blue
mfsd14a2,turquoise
mfsd14ba,blue
mfsd14bb,turquoise
mfsd1l,blue
mfsd2ab_ChrAur1,turquoise
mfsd2ab_ChrAur2,grey
mfsd2b,brown
mfsd3,blue
mfsd4aa,brown
mfsd4ab,turquoise
mfsd4b,turquoise
mfsd5,turquoise
mfsd6b,turquoise
mfsd6l,turquoise
mfsd8,turquoise
mfsd8l1,grey
mfsd9,blue
mgaa,blue
mgarpa,turquoise
mgarpb,turquoise
mgat1a,grey
mgat1b,blue
mgat2,turquoise
mgat3b,blue
mgat4a,turquoise
mgat4b,turquoise
mgat4c_ChrAur2,brown
mgat5_ChrAur1,turquoise
mgat5b_ChrAur1,turquoise
mgat5b_ChrAur2,turquoise
mgme1,turquoise
mgmt,turquoise
mgp,blue
mgrn1b,blue
mgst3a,blue
mgst3b,grey
mhc1haa,turquoise
mhc1laa_ChrAur1,blue
mhc1laa_ChrAur2,turquoise
mhc1zca,blue
mhc2dga,blue
mhc2dgb_ChrAur1,turquoise
mhc2dgb_ChrAur2,blue
mhc2dgb_ChrAur4,turquoise
mia2,turquoise
mia3,turquoise
mib1,turquoise
mib2,turquoise
mibp,turquoise
mibp2,blue
mical1,turquoise
mical2a,turquoise
mical2b,blue
mical3a,turquoise
mical3b,turquoise
micall1a,turquoise
micall2a,blue
micall2b,turquoise
micos10_ChrAur2,turquoise
micos13,turquoise
micu1,turquoise
micu2,grey
micu3a,turquoise
mid1_ChrAur1,turquoise
mid1_ChrAur2,blue
mid1ip1b,turquoise
mid1ip1l,turquoise
mid2,blue
mideasa,blue
mideasb,blue
midn,turquoise
mief1,turquoise
mief2,turquoise
mier1b,turquoise
mier2_ChrAur1,turquoise
mier2_ChrAur2,turquoise
mier3b,brown
mif,yellow
mif4gdb,brown
miga1,blue
miga2,blue
miip,turquoise
minar1,blue
mindy1,brown
mindy2,blue
mindy3,turquoise
mindy4,turquoise
mink1,turquoise
minpp1a_ChrAur1,blue
minpp1a_ChrAur2,grey
mios,turquoise
mipepa,turquoise
mir206-2,blue
mir27b,grey
mir7146,turquoise
mis12,turquoise
mis18a,turquoise
mis18bp1,turquoise
mitd1,turquoise
mix23,turquoise
mixl1,green
mki67,turquoise
mkks,grey
mkln1,turquoise
mknk1,turquoise
mknk2b,grey
mkrn1,turquoise
mkrn2,turquoise
mkrn4,turquoise
mks1,grey
mkxa_ChrAur1,turquoise
mlec,grey
mlf1,brown
mlf2,turquoise
mlh1,turquoise
mlh3,yellow
mlip,turquoise
mllt10,turquoise
mllt11,turquoise
mllt3,grey
mlphb,grey
mlst8,turquoise
mlx,turquoise
mlxipl,turquoise
mlycd,turquoise
mmaa,blue
mmab,turquoise
mmachc,turquoise
mmadhca,turquoise
mmadhcb,blue
mmd,turquoise
mmd2a,turquoise
mmel1,turquoise
mmgt1,turquoise
mmp11a,blue
mmp11b,blue
mmp13a_ChrAur3,blue
mmp14a,blue
mmp14b,blue
mmp15b_ChrAur1,blue
mmp15b_ChrAur2,turquoise
mmp17a_ChrAur1,brown
mmp17a_ChrAur2,turquoise
mmp19_ChrAur1,turquoise
mmp2,blue
mmp23ba,blue
mmp23bb,grey
mmp24,turquoise
mmp25b,turquoise
mmp28,blue
mmp9,grey
mmrn2a_ChrAur1,grey
mmrn2a_ChrAur2,blue
mms19,turquoise
mms22l,turquoise
mmut,blue
mn1b,turquoise
mnat1,turquoise
mnd1,grey
mns1,grey
mnta,grey
mntb,turquoise
mob1ba,brown
mob1bb,blue
mob2a,turquoise
mob3a,blue
mob3c,turquoise
mob4,turquoise
mocos,turquoise
mocs1_ChrAur1,blue
mocs1_ChrAur2,turquoise
mocs3,turquoise
mogat3a,yellow
mogat3b,turquoise
mogs,turquoise
mon1a,turquoise
mon2,turquoise
morc2,turquoise
morc3a,blue
morf4l1_ChrAur1,grey
morf4l1_ChrAur2,turquoise
morn2,grey
morn3,brown
morn5,grey
mos,turquoise
mosmoa_ChrAur1,turquoise
mospd1,green
mospd2,brown
moto,blue
mov10a,green
mov10b.2_ChrAur1,blue
mov10b.2_ChrAur2,blue
mov10l1,turquoise
moxd1l,grey
mpc1,grey
mpc2b,turquoise
mpdu1b_ChrAur1,turquoise
mpdu1b_ChrAur2,turquoise
mpdz,blue
mpg,turquoise
mphosph10,turquoise
mphosph6,turquoise
mpi,turquoise
mplkip,turquoise
mpnd,grey
mpp1,turquoise
mpp2b,brown
mpp3b,turquoise
mpp4b,grey
mpp6a,blue
mpp7a,turquoise
mppe1,turquoise
mpped2a,turquoise
mprip,blue
mpst,grey
mpv17,turquoise
mpv17l2,turquoise
mpz,blue
mpzl1l,grey
mpzl2b_ChrAur1,grey
mpzl3,turquoise
mrasa,turquoise
mrc1a,turquoise
mrc1b,blue
mrc2,blue
mre11a,brown
mrgbp,turquoise
mri1,grey
mrm1,turquoise
mrm2,turquoise
mrm3a,turquoise
mrnip,turquoise
mroh1,turquoise
mrpl1,turquoise
mrpl10,turquoise
mrpl11,turquoise
mrpl12,turquoise
mrpl13,turquoise
mrpl14,turquoise
mrpl15,turquoise
mrpl16,turquoise
mrpl17,turquoise
mrpl18,turquoise
mrpl19,turquoise
mrpl20,turquoise
mrpl21,turquoise
mrpl22,turquoise
mrpl23,blue
mrpl24,turquoise
mrpl27,turquoise
mrpl28,turquoise
mrpl3,turquoise
mrpl30,turquoise
mrpl32,turquoise
mrpl33,turquoise
mrpl34,blue
mrpl35,green
mrpl36,green
mrpl37,blue
mrpl38,green
mrpl39,turquoise
mrpl4,turquoise
mrpl40,turquoise
mrpl41,turquoise
mrpl42,turquoise
mrpl43,turquoise
mrpl44_ChrAur1,turquoise
mrpl44_ChrAur2,turquoise
mrpl45,turquoise
mrpl46,turquoise
mrpl47,turquoise
mrpl48,turquoise
mrpl49,turquoise
mrpl51,turquoise
mrpl52,turquoise
mrpl53,turquoise
mrpl54,turquoise
mrpl55,turquoise
mrpl57,green
mrpl58,turquoise
mrpl9,turquoise
mrps10,turquoise
mrps11,turquoise
mrps12,turquoise
mrps14,turquoise
mrps15,turquoise
mrps16,turquoise
mrps17,turquoise
mrps18a,turquoise
mrps18b,turquoise
mrps18c,turquoise
mrps2,turquoise
mrps21,turquoise
mrps22,turquoise
mrps23,brown
mrps24,turquoise
mrps25,turquoise
mrps26,turquoise
mrps27,turquoise
mrps28_ChrAur1,turquoise
mrps30,turquoise
mrps31,turquoise
mrps33,turquoise
mrps34,turquoise
mrps35,turquoise
mrps5,turquoise
mrps6,turquoise
mrps7,turquoise
mrps9,turquoise
mrrf,turquoise
mrs2,turquoise
mrtfab_ChrAur1,blue
mrtfab_ChrAur2,blue
mrtfab_ChrAur3,blue
mrtfba,blue
mrtfbb,turquoise
mrto4,blue
mrvi1,turquoise
msantd1,turquoise
msantd2,blue
msh2,turquoise
msh3,turquoise
msh4,brown
msh5,brown
msh6,turquoise
msi1b_ChrAur1,grey
msi1b_ChrAur2,turquoise
msi2b,turquoise
msl1b,blue
msl2a,turquoise
msl2b,turquoise
msmo1,turquoise
msna,blue
msnb,turquoise
msraa,grey
msrab,turquoise
msrb1a,turquoise
msrb1b,turquoise
msrb2,turquoise
msrb3,blue
mss51_ChrAur2,turquoise
mst1,brown
mst1rb,yellow
mstnb,turquoise
msto1,turquoise
msx2b,grey
msx3,turquoise
mt2_ChrAur2,turquoise
mta1,blue
mta2,turquoise
mta3,turquoise
mtap,turquoise
mtbl,turquoise
mtbp,turquoise
mtch2,turquoise
mtcl1,turquoise
mtcl3b,brown
mtdha_ChrAur1,turquoise
mtdha_ChrAur2,turquoise
mterf1,turquoise
mterf2,turquoise
mterf3,turquoise
mterf4,turquoise
mtf1,brown
mtf2,grey
mtfmt,turquoise
mtfp1,blue
mtfr1,turquoise
mtfr1l,turquoise
mtfr2,turquoise
mtg1,turquoise
mtg2,turquoise
mthfd1b,turquoise
mthfd1l,blue
mthfd2,turquoise
mthfd2l,turquoise
mthfr,turquoise
mthfs,turquoise
mthfsd,turquoise
mtif2,turquoise
mtif3,turquoise
mtm1,turquoise
mtmr10,turquoise
mtmr11,turquoise
mtmr14,grey
mtmr1a,blue
mtmr2,blue
mtmr3,blue
mtmr4,turquoise
mtmr6,turquoise
mtmr7a,blue
mtmr7b,blue
mtmr9,blue
mto1,green
mtor,blue
mtpap,turquoise
mtpn,grey
mtr,turquoise
mtres1,turquoise
mtrex,turquoise
mtrf1,turquoise
mtrf1l,turquoise
mtrr,brown
mtss1,turquoise
mtss1la,blue
mtss1lb,blue
mtus1a,turquoise
mtus1b,turquoise
mtus2a_ChrAur2,blue
mtus2b,yellow
mtx1a,grey
mtx2,turquoise
mtx3,blue
muc13a,grey
muc5fl_ChrAur1,brown
muc5fl_ChrAur2,brown
mul1,turquoise
mul1a,turquoise
mul3,turquoise
mus81,turquoise
musk,green
mustn1a,blue
mutyh_ChrAur1,blue
mutyh_ChrAur2,brown
mvb12a,turquoise
mvb12ba,grey
mvda,turquoise
mvk,turquoise
mvp,blue
mxa_ChrAur1,blue
mxa_ChrAur2,blue
mxa_ChrAur3,blue
mxa_ChrAur4,blue
mxd1,grey
mxd3,grey
mxd4,turquoise
mxi1,turquoise
mxra5a_ChrAur1,blue
mxra8b,blue
myadma,blue
myadmb,blue
myb,blue
mybbp1a,turquoise
mybl1,blue
mybl2a,turquoise
mybl2b,turquoise
mybpc1,turquoise
mybpc2a,turquoise
mybpc2b,grey
mybpc3,grey
mybpha,turquoise
mybphb_ChrAur1,grey
mybphb_ChrAur2,grey
mycb,turquoise
mycbp_ChrAur1,red
mycbp_ChrAur2,turquoise
mycbp2,blue
mych,turquoise
myclb,blue
mycn,blue
myct1a,blue
myd88,blue
mydgf,turquoise
myef2,grey
myg1,turquoise
myh10_ChrAur1,turquoise
myh10_ChrAur2,turquoise
myh11a,blue
myh14,blue
myh7ba,grey
myh7bb,yellow
myh9a,turquoise
myh9b,brown
myhb_ChrAur1,turquoise
myhb_ChrAur2,brown
myhb_ChrAur3,grey
